msa,lat,lng
"Dallas,  TX",32.802955,-96.769923
"Claremont,  NH",43.3767402,-72.346756
"Pittsburgh,  PA",40.4406248,-79.9958864
"Williamsport,  PA",41.2411897,-77.0010786
"York,  PA",39.9625984,-76.727745
"Harrisburg,  PA",40.2737002,-76.8844179
"Sunbury,  PA",40.862585,-76.7944104
"Columbus,  MS",33.4956744,-88.4272627
"Clovis,  NM",34.4047987,-103.2052272
"Boston,  MA",42.3584308,-71.0597732
548,-123.107764
"Appleton,  WI",44.26178,-88.416564
"Madison,  WI",43.07295,-89.386694
"Youngstown,  OH",41.0981,-80.650789
"Cleveland,  OH",41.50438,-81.690434
"Baton Rouge,  LA",30.443345,-91.186994
"Lubbock,  TX",33.58451,-101.845009
"Sacramento,  CA",38.579065,-121.491014
"Reno,  NV",39.527385,-119.813439
"Santa Fe,  NM",35.691543,-105.937406
"Salisbury,  MD",38.365735,-75.595319
"Bend,  OR",44.05766,-121.315549
"Paducah,  KY",37.08571,-88.595834
"Chattanooga,  TN",35.04644,-85.309464
"Macon,  GA",32.839685,-83.627579
"Savannah,  GA",32.08078,-81.090719
"Atlanta,  GA",33.748315,-84.391109
"Rochester,  NY",43.1555,-77.616033
"Milwaukee,  WI",43.04181,-87.906844
"Buffalo,  NY",42.88544,-78.878464
"Fond du Lac,  WI",43.773025,-88.447094
"Albany,  NY",42.651445,-73.755254
"Syracuse,  NY",43.04999,-76.147389
"Eau Claire,  WI",44.816512,-91.501238
"Wausau,  WI",44.959535,-89.630309
"Jonesboro,  AR",35.835255,-90.705059
"Little Rock,  AR",34.748655,-92.274494
"Fargo,  ND",46.87591,-96.781764
"Kansas City,  MO",39.10296,-94.583062
"Wichita,  KS",37.68698,-97.335579
"Omaha,  NE",41.260675,-95.940469
"Ithaca,  NY",42.440495,-76.495454
"Gulfport,  MS",30.38032,-89.092354
"Lafayette,  LA",30.220325,-92.017054
"Fairmont,  WV",39.48161,-80.147154
"Las Vegas,  NV",36.171915,-115.139974
"Carbondale,  IL",37.7273,-89.215799
"Detroit,  MI",42.331685,-83.047924
"Lansing,  MI",42.73194,-84.552249
"Saginaw,  MI",43.419181,-83.946673
"Grand Rapids,  MI",42.96641,-85.671179
"New Orleans,  LA",29.9537,-90.077749
"Longview,  TX",32.50064,-94.741075
"Tulsa,  OK",36.149745,-95.993334
"Oklahoma City,  OK",35.472015,-97.520354
"Beckley,  WV",37.777592,-81.187647
"Salt Lake City,  UT",40.759505,-111.888229
"Lima,  OH",40.742695,-84.107294
"Mansfield,  OH",40.758515,-82.514804
"Columbus,  OH",39.96196,-83.002984
"Toledo,  OH",41.65381,-83.536259
"Dayton,  OH",39.75911,-84.194439
"Johnson City,  TN",36.320088,-82.345284
"Philadelphia,  PA",39.95228,-75.162454
"Denver,  CO",39.74001,-104.992259
"Seattle,  WA",47.60356,-122.329439
"San Jose,  CA",37.338475,-121.885794
"Corbin,  KY",36.94412,-84.095554
"Louisville/Jefferson County,  KY",38.25486,-85.766403
"Columbus,  GA",32.462925,-84.987629
"Union City,  TN",36.42378,-89.057316
"Lexington,  KY",38.048595,-84.500319
"Cincinnati,  OH",39.106614,-84.504552
"Findlay,  OH",41.0374,-83.650288
"Sarasota,  FL",27.33888,-82.539629
"Orlando,  FL",28.538235,-81.377389
"Monroe,  LA",32.50965,-92.119049
"Midland,  TX",32.000105,-102.075694
"New York,  NY",40.71455,-74.007124
"Idaho Falls,  ID",43.492,-112.041994
"St. Louis,  MO",38.62774,-90.199514
"Cape Girardeau,  MO",37.302715,-89.544529
"Hartford,  CT",41.763325,-72.674069
"Fresno,  CA",36.740685,-119.785734
"Greenville,  SC",34.84827,-82.400114
"Columbia,  SC",33.99855,-81.045249
"Dothan,  AL",31.22324,-85.393329
"Mobile,  AL",30.686395,-88.053239
"Birmingham,  AL",33.520295,-86.811504
"Montgomery,  AL",32.38012,-86.300629
"Myrtle Beach,  SC",33.693569,-78.882665
"Charlotte,  NC",35.22269,-80.837764
"Huntsville,  AL",34.729135,-86.584979
"Port St. Lucie,  FL",27.274187,-80.363319
"Jackson,  MS",32.29869,-90.180489
"Shreveport,  LA",32.514615,-93.747274
"Sioux City,  IA",42.49981,-96.420944
"Peoria,  IL",40.69214,-89.587764
"Rockford,  IL",42.2669,-89.078354
"Jackson,  TN",35.6139,-88.819399
"Nashville,  TN",36.167783,-86.778365
"South Bend,  IN",41.679058,-86.254044
"Knoxville,  TN",35.960495,-83.920914
"Kokomo,  IN",40.48651,-86.126244
"Fort Wayne,  IN",41.08026,-85.138314
"Indianapolis,  IN",39.76691,-86.149964
"Ames,  IA",42.025345,-93.620199
"Des Moines,  IA",41.58979,-93.615659
"Fort Polk South,  LA",31.05303,-93.220818
"Brownsville,  TX",25.899585,-97.495529
"Chicago,  IL",41.88415,-87.632409
"Los Angeles,  CA",34.05349,-118.245319
"Minneapolis,  MN",44.979035,-93.264929
"Lafayette,  IN",40.41737,-86.876554
"Lake Charles,  LA",30.224033,-93.220111
"Washington,  DC",38.89037,-77.031959
"Corpus Christi,  TX",27.79641,-97.403564
"Houston,  TX",29.76045,-95.369784
"Austin,  TX",30.267605,-97.742984
"Tyler,  TX",32.347475,-95.294299
"Portland,  ME",43.659145,-70.256654
"Greensboro,  NC",36.068994,-79.794704
"Raleigh,  NC",35.78551,-78.642669
"Asheville,  NC",35.59846,-82.553144
"Lumberton,  NC",34.618302,-79.012475
